Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Reason),Custom field (Request Type),Custom field (Score),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Team Id,Team Name,Custom field (Test Level),Custom field (Test Steps),Custom field (Testcase Result),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent summary,Status Category,Status Category Changed
CP01 - Confirm Profile - Allows moderator accept tutor profile,N1NJS1804-263,10602,Testcase,To Do,N1NJS1804,N1_NJS1804_SWP,software,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,,,Medium,,Lê Phước Lộc,712020:48b45bd8-7be5-4939-be5d-de0730b29b37,Lê Phước Lộc,712020:48b45bd8-7be5-4939-be5d-de0730b29b37,Lê Phước Lộc,712020:48b45bd8-7be5-4939-be5d-de0730b29b37,16/Jul/24 9:57 PM,19/Jul/24 9:38 PM,19/Jul/24 9:41 PM,,,0,"Step 1: Login vào trang wed với vai trò là mod

Step 2 : Chọn kiểm duyệt ở chổ “ tài khoản người kiểm duyệt “

Step 3: Bấm vào nút chi tiết

Step 4: Bấm vào nút Xác nhận",,,,,,,,,,,,,,,,,,,,,,,,N1NJS1804-262,,,,,,,16/Jul/24 9:56 PM;712020:48b45bd8-7be5-4939-be5d-de0730b29b37;image-20240716-145624.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10216,,,,,,,"Thông Báo: ""Yêu cầu đã được duyệt"", thông tin yêu cầu biến mất",,,,,,{},,N1NJS1804-3,Manage Confirm,,,"Thông Báo: ""Yêu cầu đã được duyệt"", thông tin yêu cầu biến mất",,,,,0|i001au:,,,,,Bussiness Flow,,,,,,,a64eec8d-d097-4e16-b922-2bcf99c42580,N1NJS1804,Unit,"Step 1: Login vào trang wed với vai trò là mod

Step 2 : Chọn kiểm duyệt ở chổ “ tài khoản người kiểm duyệt “

Step 3: Bấm vào nút chi tiết

Step 4: Bấm vào nút Xác nhận",Pass,,,,,10002,Manage Confirm,To Do,16/Jul/24 9:57 PM
UC06 - Confirm profile,N1NJS1804-262,10601,Story,To Do,N1NJS1804,N1_NJS1804_SWP,software,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,,,Medium,,Lê Phước Lộc,712020:48b45bd8-7be5-4939-be5d-de0730b29b37,Lê Phước Lộc,712020:48b45bd8-7be5-4939-be5d-de0730b29b37,Lê Phước Lộc,712020:48b45bd8-7be5-4939-be5d-de0730b29b37,16/Jul/24 9:33 PM,19/Jul/24 5:18 PM,19/Jul/24 9:41 PM,,,0,,,,,,,,,,,,,N1NJS1804-263,N1NJS1804-264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,N1NJS1804-3,Manage Confirm,,,,,,,,0|i00113:,,,,,Bussiness Flow,,,,,,,a64eec8d-d097-4e16-b922-2bcf99c42580,N1NJS1804,,,,,,,,10002,Manage Confirm,To Do,16/Jul/24 9:33 PM
MR09 - Delete Service  : Check the function to delete the tutor's service in case of a happy case,N1NJS1804-261,10600,Testcase,To Do,N1NJS1804,N1_NJS1804_SWP,software,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,,,Medium,,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,16/Jul/24 8:24 PM,17/Jul/24 5:38 AM,17/Jul/24 12:28 PM,,,0,h1. Check the function to delete the tutor's service in case of a happy case,,,,,,,,,,,,,,,,,,,,,,,,N1NJS1804-122,,,,,,,16/Jul/24 8:27 PM;712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88;delete1.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10211,16/Jul/24 8:28 PM;712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88;delete2.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10212,16/Jul/24 8:28 PM;712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88;delete4.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10213,16/Jul/24 8:28 PM;712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88;delete5.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10214,16/Jul/24 8:28 PM;712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88;delte3.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10215,,,"The message showed ""Xóa dịch vụ thành công"" ",,,,,,{},,N1NJS1804-4,Manage Services,,,"The message will show ""Xóa dịch vụ thành công"" ",,,,,0|i0010v:,,,,,Bussiness Flow,,,,,,,,,,"1. Select ""dịch vụ bạn đã tạo"" on the screen
2. Click the ""Xóa dịch vụ"" button
3. Check infomation in database",,,,,,10003,Manage Services,To Do,16/Jul/24 8:24 PM
"MS23 - Create Service - Check field ""Phương thức học"" field is left blank",N1NJS1804-260,10599,Testcase,To Do,N1NJS1804,N1_NJS1804_SWP,software,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,,,Medium,,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,16/Jul/24 7:53 PM,16/Jul/24 7:58 PM,16/Jul/24 7:58 PM,,,0,,,,,,,,,,,,,,,,,,,,,,,,,N1NJS1804-116,,,,,,,16/Jul/24 7:56 PM;712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88;fail11.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10210,16/Jul/24 7:56 PM;712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88;fail12.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10209,,,,,,"The message showed ""Phương thức học không hợp lệ""",,,,,,{},,N1NJS1804-4,Manage Services,,,"The message will show ""Phương thức học không hợp lệ""",,,,,0|i0010n:,,,,,Bussiness Flow,,,,,,,,,,"1. Select the ""Tạo lớp cho gia sư"" function on the screen
2. Fill in all information except the ""Chọn phương thức học"" field",,,,,,10003,Manage Services,To Do,16/Jul/24 7:53 PM
MC36 - Create Complaint - Check delete account ,N1NJS1804-259,10598,Testcase,To Do,N1NJS1804,N1_NJS1804_SWP,software,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,,,Medium,,Nguyễn Trí Thành,712020:3ecca1b3-f181-406d-8df5-a0905574eb74,Nguyễn Trí Thành,712020:3ecca1b3-f181-406d-8df5-a0905574eb74,Nguyễn Trí Thành,712020:3ecca1b3-f181-406d-8df5-a0905574eb74,13/Jul/24 9:10 AM,19/Jul/24 8:43 PM,13/Jul/24 10:43 AM,,,0,,,,,,,,,,,,,,,,,,,,,,,,,N1NJS1804-298,,,,,,,13/Jul/24 9:08 AM;712020:3ecca1b3-f181-406d-8df5-a0905574eb74;image-20240713-020810.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10207,13/Jul/24 9:08 AM;712020:3ecca1b3-f181-406d-8df5-a0905574eb74;image-20240713-020826.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10208,13/Jul/24 9:08 AM;712020:3ecca1b3-f181-406d-8df5-a0905574eb74;image-20240713-020847.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10205,13/Jul/24 9:09 AM;712020:3ecca1b3-f181-406d-8df5-a0905574eb74;image-20240713-020904.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10206,,,,Account of Tutor has been deleted,,,,,,{},,N1NJS1804-6,Manage Complaint ,,,Account of Tutor has been deleted,,,,,0|i00107:,,,,,Bussiness Flow,,,,,,,,,Unit,"1: Press ""Chi tiết""
2: Check and press ""Xóa tài khoản gia sư""",Pass,,,,,10005,Manage Complaint ,To Do,13/Jul/24 9:10 AM
MC34 - Create Complaint - Check create complaint but not type complaint,N1NJS1804-258,10597,Testcase,To Do,N1NJS1804,N1_NJS1804_SWP,software,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,,,Medium,,Nguyễn Trí Thành,712020:3ecca1b3-f181-406d-8df5-a0905574eb74,Nguyễn Trí Thành,712020:3ecca1b3-f181-406d-8df5-a0905574eb74,Nguyễn Trí Thành,712020:3ecca1b3-f181-406d-8df5-a0905574eb74,13/Jul/24 9:05 AM,19/Jul/24 8:58 PM,19/Jul/24 9:41 PM,,,0,,,,,,,,,,,,,,,,,,,,,,,,,N1NJS1804-298,,,,,,,13/Jul/24 9:03 AM;712020:3ecca1b3-f181-406d-8df5-a0905574eb74;image-20240713-020325.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10203,13/Jul/24 9:04 AM;712020:3ecca1b3-f181-406d-8df5-a0905574eb74;image-20240713-020420.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10204,,,,,,Nội dung báo cáo không được để trống,,,,,,{},,N1NJS1804-6,Manage Complaint ,,,Nội dung báo cáo không được để trống,,,,,0|i000zz:,,,,,Bussiness Flow,,,,,,,,,Unit,"1: Not type the complaint
2: Press ""Gửi""",Pass,,,,,10005,Manage Complaint ,To Do,13/Jul/24 9:05 AM
MS22 - Create Service - Choosing the wrong timeslot ,N1NJS1804-257,10596,Testcase,To Do,N1NJS1804,N1_NJS1804_SWP,software,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,,,Medium,,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,13/Jul/24 9:01 AM,13/Jul/24 9:44 AM,16/Jul/24 7:39 PM,,,0,Choosing the wrong timeslot ,,,,,,,,,,,,,,,,,,,,,,,,N1NJS1804-116,,,,,,,13/Jul/24 9:01 AM;712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88;fail10.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10202,13/Jul/24 9:01 AM;712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88;fail11.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10200,13/Jul/24 9:01 AM;712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88;fail9.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10201,,,,,"The message showed "" Thời gian bạn chọn không phù hợp. Vui lòng tạo lại""",,,,,,{},,N1NJS1804-4,Manage Services,,,"The message will show "" Thời gian bạn chọn không phù hợp. Vui lòng tạo lại""",,,,,0|i000yf:,,,,,Bussiness Flow,,,,,,,,,Unit,"1. Select past timeslot
2. Fill in the information in the remaining columns
3.Press the ""Tạo dịch vụ"" button on the screen",,,,,,10003,Manage Services,To Do,13/Jul/24 9:01 AM
CF30 - Create Feedback - Check finish the session but rate,N1NJS1804-256,10595,Testcase,To Do,N1NJS1804,N1_NJS1804_SWP,software,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,,,Medium,,,,Nguyễn Trí Thành,712020:3ecca1b3-f181-406d-8df5-a0905574eb74,Nguyễn Trí Thành,712020:3ecca1b3-f181-406d-8df5-a0905574eb74,13/Jul/24 9:00 AM,17/Jul/24 2:31 PM,19/Jul/24 9:41 PM,,,0,,,,,,,,,,,,,,,,,,,,,,,,,N1NJS1804-125,,,,,,,13/Jul/24 9:00 AM;712020:3ecca1b3-f181-406d-8df5-a0905574eb74;image-20240713-020016.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10199,17/Jul/24 2:23 PM;712020:3ecca1b3-f181-406d-8df5-a0905574eb74;image-20240717-072312.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10259,17/Jul/24 2:23 PM;712020:3ecca1b3-f181-406d-8df5-a0905574eb74;image-20240717-072329.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10260,17/Jul/24 2:23 PM;712020:3ecca1b3-f181-406d-8df5-a0905574eb74;image-20240717-072341.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10261,,,,"""Đánh giá thành công""",,,,,,{},,N1NJS1804-4,Manage Services,,,"""Phải đánh giá sao""",,,,,0|i000zr:,,,,,Bussiness Flow,,,,,,,,,Unit,"1: Press ""hoàn thành lớp""
2: type ""Phản hồi""
3: ignore rate Đánh giá
4: press ""Gửi""",Fail,,,,,10003,Manage Services,To Do,13/Jul/24 9:00 AM
CF31 - Create Feedback - Check finish the session but not type review,N1NJS1804-255,10594,Testcase,To Do,N1NJS1804,N1_NJS1804_SWP,software,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,,,Medium,,,,Nguyễn Trí Thành,712020:3ecca1b3-f181-406d-8df5-a0905574eb74,Nguyễn Trí Thành,712020:3ecca1b3-f181-406d-8df5-a0905574eb74,13/Jul/24 8:57 AM,17/Jul/24 2:32 PM,19/Jul/24 9:41 PM,,,0,,,,,,,,,,,,,,,,,,,,,,,,,N1NJS1804-125,,,,,,,13/Jul/24 8:56 AM;712020:3ecca1b3-f181-406d-8df5-a0905574eb74;image-20240713-015636.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10198,17/Jul/24 2:24 PM;712020:3ecca1b3-f181-406d-8df5-a0905574eb74;image-20240717-072430.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10262,17/Jul/24 2:24 PM;712020:3ecca1b3-f181-406d-8df5-a0905574eb74;image-20240717-072440.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10263,,,,,"""Phản hồi là bắt buộc""",,,,,,{},,N1NJS1804-4,Manage Services,,,"""Phản hồi là bắt buộc""",,,,,0|i000zj:,,,,,Bussiness Flow,,,,,,,,,Unit,"1: Press ""Hoàn thành lớp ""
2. Type review ignorge text
3: ""Phản hồi là bắt buộc"" show up",Pass,,,,,10003,Manage Services,To Do,13/Jul/24 8:57 AM
"MS21 - Create service - Check if the ""Mô tả"" input box is left blank",N1NJS1804-254,10593,Testcase,To Do,N1NJS1804,N1_NJS1804_SWP,software,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,,,Medium,,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,13/Jul/24 8:53 AM,13/Jul/24 9:43 AM,16/Jul/24 7:38 PM,,,0,"Check if the ""Mô tả"" input box is left blank",,,,,,,,,,,,,,,,,,,,,,,,N1NJS1804-116,,,,,,,13/Jul/24 8:55 AM;712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88;fail6.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10196,13/Jul/24 8:55 AM;712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88;fail7.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10195,13/Jul/24 8:55 AM;712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88;fail8.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10197,,,,,"The message showed "" Phải nhập mô tả""",,,,,,{},,N1NJS1804-4,Manage Services,,,"The message will show "" Phải nhập mô tả""",,,,,0|i000xr:,,,,,Bussiness Flow,,,,,,,,,Unit,"1. Do not fill in information in the column ""Mô tả""
2. Fill in the information in the remaining columns
3.Press the ""Tạo dịch vụ"" button on the screen",,,,,,10003,Manage Services,To Do,13/Jul/24 8:53 AM
"MS20 - Create service - Check if the ""Giá mỗi giờ"" input box is left blank",N1NJS1804-253,10592,Testcase,To Do,N1NJS1804,N1_NJS1804_SWP,software,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,,,Medium,,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,13/Jul/24 8:49 AM,13/Jul/24 9:43 AM,16/Jul/24 7:37 PM,,,0,,,,,,,,,,,,,,,,,,,,,,,,,N1NJS1804-116,,,,,,,13/Jul/24 8:54 AM;712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88;fail4.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10193,13/Jul/24 8:54 AM;712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88;fail5.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10192,13/Jul/24 8:54 AM;712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88;thanh cong.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10194,,,,,"The message showed "" Giá không thể là số âm""",,,,,,{},,N1NJS1804-4,Manage Services,,,"The message showed "" Giá phải lơn hơn 0""",,,,,0|i000xj:,,,,,Bussiness Flow,,,,,,,,,Unit,"1. Do not fill in information in the column ""Giá mỗi giờ""
2. Fill in the information in the remaining columns
3.Press the ""Tạo dịch vụ"" button on the screen",,,,,,10003,Manage Services,To Do,13/Jul/24 8:49 AM
MC35- Manage Complaint - Check list complaint,N1NJS1804-252,10591,Testcase,To Do,N1NJS1804,N1_NJS1804_SWP,software,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,,,Medium,,,,Nguyễn Trí Thành,712020:3ecca1b3-f181-406d-8df5-a0905574eb74,Nguyễn Trí Thành,712020:3ecca1b3-f181-406d-8df5-a0905574eb74,13/Jul/24 8:47 AM,17/Jul/24 2:16 PM,19/Jul/24 9:41 PM,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/Jul/24 8:39 AM;712020:3ecca1b3-f181-406d-8df5-a0905574eb74;image-20240713-013917.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10188,,,,,,,In list has the complaint of studetn just has been create complaint,,,,,,{},,N1NJS1804-6,Manage Complaint ,,,In list has the complaint of studetn just has been create complaint,,,,,0|i000zb:,,,,,Bussiness Flow,,,,,,,,,Unit,"1: Login by admin account
2 : Press ""Danh sách đánh giá""
3 : Check list",Pass,,,,,10005,Manage Complaint ,To Do,13/Jul/24 8:47 AM
"MS19 - Create Service - Check field ""Tựa đề"" field is left blank",N1NJS1804-251,10590,Testcase,To Do,N1NJS1804,N1_NJS1804_SWP,software,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,,,Medium,,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,13/Jul/24 8:41 AM,13/Jul/24 9:43 AM,16/Jul/24 7:49 PM,,,0,"Check field ""Tựa đề"" is bank",,,,,,,,,,,,,,,,,,,,,,,,N1NJS1804-116,,,,,,,13/Jul/24 8:44 AM;712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88;fail1.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10187,13/Jul/24 8:44 AM;712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88;fail2.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10185,13/Jul/24 8:44 AM;712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88;fail3.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10186,,,,,"The message showed "" Tựa đề là bắt buộc""",,,,,,{},,N1NJS1804-4,Manage Services,,,"The message will show "" Tựa đề là bắt buộc""",,,,,0|i000x3:,,,,,Bussiness Flow,,,,,,,,,Unit,"1. Do not fill in information in the column ""Tựa đề""
2. Fill in the information in the remaining columns
3.Press the ""Tạo dịch vụ"" button on the screen",Pass,,,,,10003,Manage Services,To Do,13/Jul/24 8:41 AM
MC31 - Manage Complaint - Check create complaint,N1NJS1804-250,10589,Testcase,To Do,N1NJS1804,N1_NJS1804_SWP,software,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,,,Medium,,Nguyễn Trí Thành,712020:3ecca1b3-f181-406d-8df5-a0905574eb74,Nguyễn Trí Thành,712020:3ecca1b3-f181-406d-8df5-a0905574eb74,Nguyễn Trí Thành,712020:3ecca1b3-f181-406d-8df5-a0905574eb74,13/Jul/24 8:37 AM,19/Jul/24 8:58 PM,15/Jul/24 10:18 PM,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/Jul/24 8:31 AM;712020:3ecca1b3-f181-406d-8df5-a0905574eb74;image-20240713-013125.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10177,13/Jul/24 8:32 AM;712020:3ecca1b3-f181-406d-8df5-a0905574eb74;image-20240713-013250.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10176,13/Jul/24 8:33 AM;712020:3ecca1b3-f181-406d-8df5-a0905574eb74;image-20240713-013358.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10175,13/Jul/24 8:34 AM;712020:3ecca1b3-f181-406d-8df5-a0905574eb74;image-20240713-013416.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10178,13/Jul/24 8:35 AM;712020:3ecca1b3-f181-406d-8df5-a0905574eb74;image-20240713-013510.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10174,13/Jul/24 8:35 AM;712020:3ecca1b3-f181-406d-8df5-a0905574eb74;image-20240713-013530.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10179,13/Jul/24 8:35 AM;712020:3ecca1b3-f181-406d-8df5-a0905574eb74;image-20240713-013547.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10173,Submit form complaint successfully,,,,,,{},,N1NJS1804-6,Manage Complaint ,,,Submit form complaint successfully,,,,,0|i000s3:,,,,,Bussiness Flow,,,,,,,,,Unit,"1 :Press ""Kết thúc lớp""
2 : Type Review, rate and press ""Gửi""
3: press ""Chi tiết "" and press ""Tố cáo"" 
4: Press ""Gửi""",Pass,,,,,10005,Manage Complaint ,To Do,13/Jul/24 8:37 AM
MS18 - Create Service - Check all information into form with correct ,N1NJS1804-249,10588,Testcase,To Do,N1NJS1804,N1_NJS1804_SWP,software,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,,,Medium,,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,13/Jul/24 8:34 AM,16/Jul/24 7:37 PM,16/Jul/24 7:40 PM,,,0,"As a tutor in the system, you can create hourly teaching services to serve the learning needs of students.",,,,,,,,,,,,,,,,,,,,,,,,N1NJS1804-116,,,,,,,13/Jul/24 8:43 AM;712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88;thanh cong.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10180,13/Jul/24 8:43 AM;712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88;thanhcong.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10184,13/Jul/24 8:43 AM;712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88;thanhcong1.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10182,13/Jul/24 8:43 AM;712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88;thanhcong2.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10181,13/Jul/24 8:43 AM;712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88;thnhacong.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10183,,,"The message showed ""Tạo dịch vụ thành công""",,,,,,{},,N1NJS1804-4,Manage Services,,,"The message will show ""Tạo dịch vụ thành công""",,,,,0|i000wn:,,,,,Bussiness Flow,,,,,,,,,,"1. Fill in the form with all the correct information:
 + Tiêu đề: Hướng dẫn kèm 1:1 giải bài tập tiếng anh
 + Giá mỗi giờ: 70000
 + Môn học: Ngoại ngữ
 + Mô tả: Hướng dẫn chi tiết cách bài tập tiếng anh bao gồm các cấu trúc và ngữ pháp của chương trình lớp 12. Cung cấp nền tảng khi thi đi thi THPT
 + Phương thức học: Dạy trực tuyến(online)
 + Chọn ngày học và giờ học 
    13/7/2024: 9:30, 10:00, 10:30, 12:00, 12:30, 13:00, 14:00
2. Press enter on the key broad",Pass,,,,,10003,Manage Services,To Do,13/Jul/24 8:34 AM
